timestamp, memory.used [MiB], utilization.gpu [%], power.draw [W]
2026/05/04 00:30:25.125, 16422 MiB, 80 %, 68.90 W
2026/05/04 00:30:26.126, 16422 MiB, 77 %, 68.75 W
2026/05/04 00:30:27.126, 18770 MiB, 41 %, 80.07 W
2026/05/04 00:30:28.126, 20968 MiB, 80 %, 187.91 W
2026/05/04 00:30:29.126, 20974 MiB, 76 %, 290.24 W
2026/05/04 00:30:30.127, 16422 MiB, 4 %, 139.33 W
2026/05/04 00:30:31.127, 16422 MiB, 77 %, 68.83 W
2026/05/04 00:30:32.127, 16422 MiB, 75 %, 68.92 W
2026/05/04 00:30:33.129, 18176 MiB, 63 %, 68.60 W
2026/05/04 00:30:34.129, 20868 MiB, 60 %, 136.50 W
2026/05/04 00:30:35.129, 20972 MiB, 77 %, 230.64 W
2026/05/04 00:30:36.129, 438 MiB, 100 %, 233.55 W
2026/05/04 00:30:37.130, 16422 MiB, 77 %, 72.96 W
2026/05/04 00:30:38.130, 16422 MiB, 78 %, 68.66 W
2026/05/04 00:30:39.130, 16422 MiB, 77 %, 68.56 W
2026/05/04 00:30:40.130, 20866 MiB, 67 %, 113.22 W
2026/05/04 00:30:41.130, 20968 MiB, 81 %, 191.81 W
2026/05/04 00:30:42.131, 438 MiB, 80 %, 281.57 W
2026/05/04 00:30:43.131, 16422 MiB, 22 %, 107.00 W
2026/05/04 00:30:44.131, 16422 MiB, 79 %, 69.07 W
2026/05/04 00:30:45.131, 16422 MiB, 74 %, 68.85 W
2026/05/04 00:30:46.131, 18770 MiB, 52 %, 68.98 W
2026/05/04 00:30:47.132, 20966 MiB, 56 %, 157.66 W
2026/05/04 00:30:48.132, 438 MiB, 79 %, 291.72 W
2026/05/04 00:30:49.132, 16422 MiB, 12 %, 113.17 W
2026/05/04 00:30:50.132, 16422 MiB, 80 %, 68.61 W
2026/05/04 00:30:51.133, 16422 MiB, 73 %, 68.86 W
2026/05/04 00:30:52.133, 18770 MiB, 55 %, 68.54 W
2026/05/04 00:30:53.133, 20968 MiB, 58 %, 163.75 W
2026/05/04 00:30:54.134, 20972 MiB, 80 %, 292.30 W
2026/05/04 00:30:55.134, 20974 MiB, 79 %, 283.11 W
2026/05/04 00:30:56.134, 6 MiB, 0 %, 149.18 W
2026/05/04 00:30:57.134, 16422 MiB, 79 %, 69.19 W
2026/05/04 00:30:58.135, 16422 MiB, 77 %, 69.06 W
2026/05/04 00:30:59.135, 18176 MiB, 65 %, 68.53 W
2026/05/04 00:31:00.135, 20722 MiB, 69 %, 129.21 W
2026/05/04 00:31:01.136, 20818 MiB, 80 %, 210.63 W
2026/05/04 00:31:02.136, 438 MiB, 100 %, 207.14 W
2026/05/04 00:31:03.136, 16422 MiB, 77 %, 69.11 W
2026/05/04 00:31:04.137, 16422 MiB, 76 %, 68.83 W
2026/05/04 00:31:05.137, 16422 MiB, 76 %, 68.76 W
2026/05/04 00:31:06.140, 18772 MiB, 64 %, 93.68 W
2026/05/04 00:31:07.140, 20816 MiB, 84 %, 196.20 W
2026/05/04 00:31:08.140, 20818 MiB, 76 %, 291.68 W
2026/05/04 00:31:09.141, 438 MiB, 79 %, 288.06 W
2026/05/04 00:31:10.141, 16422 MiB, 41 %, 84.17 W
2026/05/04 00:31:11.141, 16422 MiB, 77 %, 68.64 W
2026/05/04 00:31:12.142, 16422 MiB, 73 %, 68.30 W
2026/05/04 00:31:13.142, 18770 MiB, 52 %, 68.42 W
2026/05/04 00:31:14.142, 20812 MiB, 72 %, 171.60 W
2026/05/04 00:31:15.142, 20816 MiB, 76 %, 294.80 W
2026/05/04 00:31:16.143, 438 MiB, 87 %, 273.06 W
2026/05/04 00:31:17.143, 16422 MiB, 77 %, 73.51 W
2026/05/04 00:31:18.143, 16422 MiB, 80 %, 69.11 W
2026/05/04 00:31:19.144, 16422 MiB, 78 %, 69.15 W
2026/05/04 00:31:20.144, 18770 MiB, 52 %, 95.75 W
2026/05/04 00:31:21.144, 20814 MiB, 84 %, 200.45 W
2026/05/04 00:31:22.145, 20818 MiB, 79 %, 287.31 W
2026/05/04 00:31:23.145, 20822 MiB, 79 %, 291.33 W
2026/05/04 00:31:24.145, 26 MiB, 4 %, 152.26 W
2026/05/04 00:31:25.145, 16422 MiB, 82 %, 69.14 W
2026/05/04 00:31:26.145, 16422 MiB, 77 %, 68.63 W
2026/05/04 00:31:27.146, 18176 MiB, 52 %, 68.47 W
2026/05/04 00:31:28.146, 20720 MiB, 60 %, 134.03 W
2026/05/04 00:31:29.146, 20818 MiB, 81 %, 255.71 W
2026/05/04 00:31:30.146, 438 MiB, 93 %, 244.09 W
2026/05/04 00:31:31.152, 16422 MiB, 80 %, 72.23 W
2026/05/04 00:31:32.152, 16422 MiB, 79 %, 69.00 W
2026/05/04 00:31:33.153, 16422 MiB, 78 %, 68.87 W
2026/05/04 00:31:34.153, 18770 MiB, 55 %, 100.71 W
2026/05/04 00:31:35.153, 20814 MiB, 84 %, 205.55 W
2026/05/04 00:31:36.154, 438 MiB, 82 %, 284.61 W
2026/05/04 00:31:37.154, 16422 MiB, 15 %, 95.58 W
2026/05/04 00:31:38.154, 16422 MiB, 81 %, 69.05 W
2026/05/04 00:31:39.154, 16422 MiB, 74 %, 68.64 W
2026/05/04 00:31:40.155, 18770 MiB, 53 %, 68.72 W
2026/05/04 00:31:41.155, 20816 MiB, 59 %, 167.84 W
2026/05/04 00:31:42.155, 20818 MiB, 77 %, 290.13 W
2026/05/04 00:31:43.156, 438 MiB, 100 %, 230.23 W
2026/05/04 00:31:44.156, 16422 MiB, 69 %, 71.08 W
2026/05/04 00:31:45.156, 16422 MiB, 78 %, 68.67 W
2026/05/04 00:31:46.156, 16422 MiB, 77 %, 68.64 W
2026/05/04 00:31:47.157, 20720 MiB, 62 %, 111.06 W
2026/05/04 00:31:48.157, 20814 MiB, 82 %, 195.25 W
2026/05/04 00:31:49.157, 438 MiB, 77 %, 280.35 W
2026/05/04 00:31:50.158, 16422 MiB, 58 %, 84.58 W
2026/05/04 00:31:51.158, 16422 MiB, 80 %, 69.14 W
2026/05/04 00:31:52.158, 16422 MiB, 77 %, 68.99 W
2026/05/04 00:31:53.159, 18770 MiB, 37 %, 83.11 W
2026/05/04 00:31:54.159, 20814 MiB, 73 %, 191.11 W
2026/05/04 00:31:55.160, 438 MiB, 87 %, 261.39 W
2026/05/04 00:31:56.160, 16422 MiB, 79 %, 74.11 W
2026/05/04 00:31:57.160, 16422 MiB, 79 %, 69.20 W
2026/05/04 00:31:58.161, 16422 MiB, 78 %, 69.05 W
2026/05/04 00:31:59.161, 18770 MiB, 47 %, 93.63 W
2026/05/04 00:32:00.161, 20814 MiB, 85 %, 203.67 W
2026/05/04 00:32:01.162, 20818 MiB, 79 %, 290.64 W
2026/05/04 00:32:02.162, 20822 MiB, 75 %, 283.61 W
2026/05/04 00:32:03.162, 3 MiB, 4 %, 135.95 W
2026/05/04 00:32:04.162, 3 MiB, 0 %, 68.60 W
2026/05/04 00:32:05.163, 3 MiB, 0 %, 55.45 W
2026/05/04 00:32:06.163, 3 MiB, 0 %, 42.35 W
2026/05/04 00:32:07.163, 3 MiB, 0 %, 30.13 W
2026/05/04 00:32:08.164, 3 MiB, 0 %, 29.52 W
2026/05/04 00:32:09.164, 3 MiB, 0 %, 29.04 W
2026/05/04 00:32:10.165, 3 MiB, 0 %, 24.88 W
2026/05/04 00:32:11.165, 3 MiB, 0 %, 19.71 W
2026/05/04 00:32:12.165, 3 MiB, 0 %, 12.84 W
2026/05/04 00:32:13.166, 3 MiB, 0 %, 7.14 W
2026/05/04 00:32:14.166, 3 MiB, 0 %, 7.10 W
2026/05/04 00:32:15.166, 3 MiB, 0 %, 7.00 W
2026/05/04 00:32:16.167, 3 MiB, 0 %, 6.69 W
2026/05/04 00:32:17.167, 3 MiB, 0 %, 6.61 W
2026/05/04 00:32:18.167, 6 MiB, 0 %, 6.99 W
2026/05/04 00:32:19.167, 16422 MiB, 77 %, 57.32 W
2026/05/04 00:32:20.168, 16422 MiB, 77 %, 68.62 W
2026/05/04 00:32:21.168, 18176 MiB, 51 %, 68.30 W
2026/05/04 00:32:22.168, 20540 MiB, 85 %, 201.64 W
2026/05/04 00:32:23.168, 20542 MiB, 98 %, 381.35 W
2026/05/04 00:32:24.168, 20544 MiB, 95 %, 386.62 W
2026/05/04 00:32:25.168, 20544 MiB, 100 %, 390.52 W
2026/05/04 00:32:26.169, 20546 MiB, 94 %, 386.52 W
2026/05/04 00:32:27.169, 20546 MiB, 98 %, 396.52 W
2026/05/04 00:32:28.169, 20548 MiB, 94 %, 390.48 W
2026/05/04 00:32:29.170, 20548 MiB, 100 %, 393.90 W
2026/05/04 00:32:30.170, 20550 MiB, 100 %, 386.24 W
2026/05/04 00:32:31.170, 20550 MiB, 98 %, 396.81 W
2026/05/04 00:32:32.171, 20552 MiB, 100 %, 385.30 W
2026/05/04 00:32:33.171, 20552 MiB, 100 %, 378.90 W
2026/05/04 00:32:34.197, 20552 MiB, 98 %, 380.49 W
2026/05/04 00:32:35.197, 20554 MiB, 98 %, 378.86 W
2026/05/04 00:32:36.197, 20554 MiB, 98 %, 386.48 W
2026/05/04 00:32:37.198, 20556 MiB, 98 %, 382.23 W
2026/05/04 00:32:38.198, 20556 MiB, 98 %, 389.45 W
2026/05/04 00:32:39.198, 20558 MiB, 98 %, 385.83 W
2026/05/04 00:32:40.198, 20558 MiB, 100 %, 388.10 W
2026/05/04 00:32:41.199, 20558 MiB, 98 %, 391.86 W
2026/05/04 00:32:42.199, 20560 MiB, 98 %, 385.70 W
2026/05/04 00:32:43.199, 20560 MiB, 100 %, 392.83 W
2026/05/04 00:32:44.199, 20560 MiB, 98 %, 394.66 W
2026/05/04 00:32:45.200, 20562 MiB, 98 %, 394.57 W
2026/05/04 00:32:46.200, 20562 MiB, 100 %, 392.40 W
2026/05/04 00:32:47.200, 20564 MiB, 95 %, 397.54 W
2026/05/04 00:32:48.200, 20564 MiB, 100 %, 379.87 W
2026/05/04 00:32:49.201, 21474 MiB, 63 %, 370.08 W
2026/05/04 00:32:50.201, 3 MiB, 70 %, 88.25 W
2026/05/04 00:32:51.201, 3 MiB, 0 %, 77.30 W
2026/05/04 00:32:52.201, 3 MiB, 0 %, 73.33 W
2026/05/04 00:32:53.201, 3 MiB, 0 %, 63.12 W
2026/05/04 00:32:54.202, 3 MiB, 0 %, 47.82 W
2026/05/04 00:32:55.202, 3 MiB, 0 %, 32.58 W
2026/05/04 00:32:56.202, 3 MiB, 0 %, 29.89 W
2026/05/04 00:32:57.202, 3 MiB, 0 %, 25.31 W
2026/05/04 00:32:58.203, 3 MiB, 0 %, 19.67 W
2026/05/04 00:32:59.203, 3 MiB, 0 %, 14.00 W
2026/05/04 00:33:00.203, 3 MiB, 0 %, 11.46 W
2026/05/04 00:33:01.203, 3 MiB, 0 %, 11.08 W
2026/05/04 00:33:02.204, 3 MiB, 0 %, 10.68 W
2026/05/04 00:33:03.204, 3 MiB, 0 %, 10.70 W
2026/05/04 00:33:04.204, 3 MiB, 0 %, 10.27 W
2026/05/04 00:33:05.204, 3 MiB, 0 %, 10.08 W
2026/05/04 00:33:06.205, 3 MiB, 0 %, 10.16 W
2026/05/04 00:33:07.205, 3 MiB, 0 %, 10.08 W
2026/05/04 00:33:08.205, 3 MiB, 0 %, 9.75 W
2026/05/04 00:33:09.206, 3 MiB, 0 %, 9.25 W
2026/05/04 00:33:10.206, 3 MiB, 0 %, 9.10 W
2026/05/04 00:33:11.206, 3 MiB, 0 %, 8.63 W
2026/05/04 00:33:12.207, 3 MiB, 0 %, 8.24 W
2026/05/04 00:33:13.207, 3 MiB, 0 %, 8.03 W
2026/05/04 00:33:14.207, 3 MiB, 0 %, 7.57 W
2026/05/04 00:33:15.208, 3 MiB, 0 %, 7.48 W
2026/05/04 00:33:16.208, 3 MiB, 0 %, 7.93 W
2026/05/04 00:33:17.208, 3 MiB, 0 %, 8.03 W
2026/05/04 00:33:18.208, 3 MiB, 0 %, 7.80 W
2026/05/04 00:33:19.209, 3 MiB, 0 %, 7.54 W
2026/05/04 00:33:20.209, 3 MiB, 0 %, 7.51 W
2026/05/04 00:33:21.209, 3 MiB, 0 %, 7.95 W
2026/05/04 00:33:22.210, 3 MiB, 0 %, 8.10 W
2026/05/04 00:33:23.210, 3 MiB, 0 %, 7.79 W
2026/05/04 00:33:24.210, 3 MiB, 0 %, 7.65 W
2026/05/04 00:33:25.211, 3 MiB, 0 %, 7.52 W
2026/05/04 00:33:26.211, 3 MiB, 0 %, 7.32 W
2026/05/04 00:33:27.211, 3 MiB, 0 %, 7.23 W
2026/05/04 00:33:28.211, 3 MiB, 0 %, 7.12 W
2026/05/04 00:33:29.212, 3 MiB, 0 %, 7.03 W
2026/05/04 00:33:30.212, 3 MiB, 0 %, 7.07 W
2026/05/04 00:33:31.212, 3 MiB, 0 %, 7.29 W
2026/05/04 00:33:32.213, 3 MiB, 0 %, 7.13 W
2026/05/04 00:33:33.213, 3 MiB, 0 %, 6.77 W
2026/05/04 00:33:34.213, 3 MiB, 0 %, 6.71 W
2026/05/04 00:33:35.214, 3 MiB, 0 %, 6.84 W
2026/05/04 00:33:36.214, 3 MiB, 0 %, 6.94 W
2026/05/04 00:33:37.214, 3 MiB, 0 %, 6.95 W
2026/05/04 00:33:38.215, 3 MiB, 0 %, 7.17 W
2026/05/04 00:33:39.215, 3 MiB, 0 %, 7.27 W
2026/05/04 00:33:40.215, 3 MiB, 0 %, 6.97 W
2026/05/04 00:33:41.215, 3 MiB, 0 %, 6.75 W
2026/05/04 00:33:42.216, 3 MiB, 0 %, 6.61 W
2026/05/04 00:33:43.216, 3 MiB, 0 %, 6.52 W
2026/05/04 00:33:44.216, 3 MiB, 0 %, 6.59 W
2026/05/04 00:33:45.217, 3 MiB, 0 %, 6.50 W
2026/05/04 00:33:46.217, 3 MiB, 0 %, 6.42 W
2026/05/04 00:33:47.217, 16422 MiB, 79 %, 17.29 W
2026/05/04 00:33:48.217, 16422 MiB, 78 %, 67.95 W
2026/05/04 00:33:49.218, 16422 MiB, 79 %, 68.23 W
2026/05/04 00:33:50.218, 20988 MiB, 59 %, 89.50 W
2026/05/04 00:33:51.218, 20990 MiB, 98 %, 376.75 W
2026/05/04 00:33:52.219, 20990 MiB, 100 %, 388.02 W
2026/05/04 00:33:53.219, 20992 MiB, 100 %, 384.05 W
2026/05/04 00:33:54.219, 20994 MiB, 98 %, 390.99 W
2026/05/04 00:33:55.236, 20994 MiB, 98 %, 383.51 W
2026/05/04 00:33:56.236, 20996 MiB, 98 %, 394.33 W
2026/05/04 00:33:57.237, 20996 MiB, 100 %, 388.46 W
2026/05/04 00:33:58.237, 20998 MiB, 91 %, 384.67 W
2026/05/04 00:33:59.237, 20998 MiB, 93 %, 382.27 W
2026/05/04 00:34:00.238, 21000 MiB, 95 %, 391.31 W
2026/05/04 00:34:01.238, 21000 MiB, 100 %, 382.61 W
2026/05/04 00:34:02.238, 21000 MiB, 98 %, 388.44 W
2026/05/04 00:34:03.239, 21002 MiB, 87 %, 380.19 W
2026/05/04 00:34:04.239, 21002 MiB, 98 %, 380.98 W
2026/05/04 00:34:05.239, 21004 MiB, 91 %, 382.43 W
2026/05/04 00:34:06.240, 21004 MiB, 98 %, 384.67 W
2026/05/04 00:34:07.240, 21004 MiB, 100 %, 392.77 W
2026/05/04 00:34:08.240, 21006 MiB, 100 %, 388.82 W
2026/05/04 00:34:09.241, 21006 MiB, 87 %, 385.03 W
2026/05/04 00:34:10.241, 21008 MiB, 86 %, 377.69 W
2026/05/04 00:34:11.241, 21008 MiB, 100 %, 388.50 W
2026/05/04 00:34:12.241, 21008 MiB, 98 %, 391.30 W
2026/05/04 00:34:13.243, 21010 MiB, 100 %, 392.98 W
2026/05/04 00:34:14.244, 21010 MiB, 97 %, 385.17 W
2026/05/04 00:34:15.244, 21010 MiB, 100 %, 400.15 W
2026/05/04 00:34:16.244, 21012 MiB, 98 %, 375.35 W
2026/05/04 00:34:17.244, 21012 MiB, 100 %, 401.30 W
2026/05/04 00:34:18.245, 21012 MiB, 97 %, 390.69 W
2026/05/04 00:34:19.245, 21014 MiB, 100 %, 393.43 W
2026/05/04 00:34:20.245, 21014 MiB, 98 %, 392.45 W
2026/05/04 00:34:21.246, 21014 MiB, 96 %, 400.09 W
2026/05/04 00:34:22.246, 21016 MiB, 100 %, 394.66 W
2026/05/04 00:34:23.246, 21016 MiB, 100 %, 403.99 W
2026/05/04 00:34:24.247, 21016 MiB, 95 %, 392.75 W
2026/05/04 00:34:25.247, 21018 MiB, 89 %, 389.47 W
2026/05/04 00:34:26.247, 21018 MiB, 100 %, 403.72 W
2026/05/04 00:34:27.248, 21018 MiB, 100 %, 403.07 W
2026/05/04 00:34:28.248, 21020 MiB, 94 %, 391.84 W
2026/05/04 00:34:29.248, 21020 MiB, 95 %, 395.81 W
2026/05/04 00:34:30.248, 21020 MiB, 94 %, 402.88 W
2026/05/04 00:34:31.249, 21022 MiB, 96 %, 402.62 W
2026/05/04 00:34:32.249, 21022 MiB, 96 %, 392.14 W
2026/05/04 00:34:33.249, 21022 MiB, 100 %, 403.35 W
2026/05/04 00:34:34.250, 21022 MiB, 100 %, 403.04 W
2026/05/04 00:34:35.250, 21024 MiB, 100 %, 402.70 W
2026/05/04 00:34:36.250, 21024 MiB, 99 %, 397.01 W
2026/05/04 00:34:37.251, 21024 MiB, 100 %, 402.43 W
2026/05/04 00:34:38.251, 21024 MiB, 100 %, 401.48 W
2026/05/04 00:34:39.251, 21026 MiB, 100 %, 394.33 W
2026/05/04 00:34:40.252, 21026 MiB, 100 %, 402.68 W
2026/05/04 00:34:41.252, 21026 MiB, 94 %, 403.21 W
2026/05/04 00:34:42.252, 21028 MiB, 88 %, 399.79 W
2026/05/04 00:34:43.253, 21028 MiB, 92 %, 395.20 W
2026/05/04 00:34:44.253, 21028 MiB, 97 %, 396.06 W
2026/05/04 00:34:45.253, 21028 MiB, 100 %, 402.24 W
2026/05/04 00:34:46.254, 21030 MiB, 100 %, 396.02 W
2026/05/04 00:34:47.254, 21030 MiB, 96 %, 399.64 W
2026/05/04 00:34:48.254, 21030 MiB, 100 %, 402.32 W
2026/05/04 00:34:49.254, 21030 MiB, 90 %, 400.72 W
2026/05/04 00:34:50.255, 21032 MiB, 98 %, 404.30 W
2026/05/04 00:34:51.255, 21032 MiB, 100 %, 399.14 W
2026/05/04 00:34:52.255, 21032 MiB, 100 %, 402.38 W
2026/05/04 00:34:53.256, 21032 MiB, 89 %, 401.50 W
2026/05/04 00:34:54.256, 21034 MiB, 98 %, 402.37 W
2026/05/04 00:34:55.256, 21034 MiB, 100 %, 391.73 W
2026/05/04 00:34:56.257, 21034 MiB, 100 %, 399.42 W
2026/05/04 00:34:57.257, 21034 MiB, 89 %, 401.35 W
2026/05/04 00:34:58.257, 21036 MiB, 100 %, 401.62 W
2026/05/04 00:34:59.272, 21036 MiB, 100 %, 386.68 W
2026/05/04 00:35:00.272, 21036 MiB, 90 %, 405.90 W
2026/05/04 00:35:01.273, 22208 MiB, 40 %, 201.87 W
2026/05/04 00:35:02.273, 3 MiB, 0 %, 83.99 W
2026/05/04 00:35:03.273, 3 MiB, 0 %, 79.72 W
2026/05/04 00:35:04.274, 3 MiB, 0 %, 71.24 W
2026/05/04 00:35:05.274, 3 MiB, 0 %, 52.38 W
2026/05/04 00:35:06.274, 3 MiB, 0 %, 33.53 W
2026/05/04 00:35:07.275, 3 MiB, 0 %, 33.12 W
2026/05/04 00:35:08.275, 3 MiB, 0 %, 31.91 W
2026/05/04 00:35:09.275, 3 MiB, 0 %, 26.85 W
2026/05/04 00:35:10.276, 3 MiB, 0 %, 18.31 W
2026/05/04 00:35:11.276, 3 MiB, 0 %, 13.13 W
2026/05/04 00:35:12.276, 3 MiB, 0 %, 12.52 W
2026/05/04 00:35:13.277, 3 MiB, 0 %, 12.32 W
2026/05/04 00:35:14.277, 3 MiB, 0 %, 12.17 W
2026/05/04 00:35:15.277, 3 MiB, 0 %, 11.47 W
2026/05/04 00:35:16.277, 3 MiB, 0 %, 10.80 W
2026/05/04 00:35:17.278, 3 MiB, 0 %, 10.98 W
2026/05/04 00:35:18.278, 3 MiB, 0 %, 11.38 W
2026/05/04 00:35:19.279, 3 MiB, 0 %, 11.08 W
2026/05/04 00:35:20.279, 3 MiB, 0 %, 10.58 W
2026/05/04 00:35:21.279, 3 MiB, 0 %, 10.32 W
2026/05/04 00:35:22.280, 3 MiB, 0 %, 9.90 W
2026/05/04 00:35:23.280, 3 MiB, 0 %, 9.27 W
2026/05/04 00:35:24.280, 3 MiB, 0 %, 9.21 W
2026/05/04 00:35:25.280, 3 MiB, 0 %, 9.85 W
2026/05/04 00:35:26.281, 3 MiB, 0 %, 9.96 W
2026/05/04 00:35:27.282, 3 MiB, 0 %, 9.96 W
2026/05/04 00:35:28.282, 3 MiB, 0 %, 9.93 W
2026/05/04 00:35:29.282, 3 MiB, 0 %, 9.37 W
2026/05/04 00:35:30.283, 3 MiB, 0 %, 9.06 W
2026/05/04 00:35:31.283, 3 MiB, 0 %, 8.98 W
2026/05/04 00:35:32.283, 3 MiB, 0 %, 8.73 W
2026/05/04 00:35:33.284, 3 MiB, 0 %, 8.65 W
2026/05/04 00:35:34.284, 3 MiB, 0 %, 8.56 W
2026/05/04 00:35:35.285, 3 MiB, 0 %, 8.14 W
2026/05/04 00:35:36.285, 3 MiB, 0 %, 8.03 W
2026/05/04 00:35:37.285, 3 MiB, 0 %, 8.30 W
2026/05/04 00:35:38.286, 3 MiB, 0 %, 8.29 W
2026/05/04 00:35:39.286, 3 MiB, 0 %, 8.15 W
2026/05/04 00:35:40.286, 3 MiB, 0 %, 8.34 W
2026/05/04 00:35:41.287, 3 MiB, 0 %, 8.47 W
2026/05/04 00:35:42.287, 3 MiB, 0 %, 8.57 W
2026/05/04 00:35:43.287, 3 MiB, 0 %, 8.99 W
2026/05/04 00:35:44.288, 3 MiB, 0 %, 9.17 W
2026/05/04 00:35:45.288, 3 MiB, 0 %, 9.18 W
2026/05/04 00:35:46.288, 3 MiB, 0 %, 8.99 W
2026/05/04 00:35:47.289, 3 MiB, 0 %, 8.78 W
2026/05/04 00:35:48.289, 3 MiB, 0 %, 8.21 W
2026/05/04 00:35:49.289, 3 MiB, 0 %, 8.19 W
2026/05/04 00:35:50.290, 3 MiB, 0 %, 8.86 W
2026/05/04 00:35:51.290, 3 MiB, 0 %, 9.06 W
2026/05/04 00:35:52.291, 3 MiB, 0 %, 9.13 W
2026/05/04 00:35:53.291, 3 MiB, 0 %, 9.22 W
2026/05/04 00:35:54.291, 3 MiB, 0 %, 8.93 W
2026/05/04 00:35:55.292, 3 MiB, 0 %, 8.63 W
2026/05/04 00:35:56.292, 3 MiB, 0 %, 8.84 W
2026/05/04 00:35:57.292, 3 MiB, 0 %, 8.85 W
2026/05/04 00:35:58.293, 3 MiB, 0 %, 8.17 W
2026/05/04 00:35:59.293, 3 MiB, 0 %, 7.39 W
2026/05/04 00:36:00.293, 3 MiB, 0 %, 7.29 W
2026/05/04 00:36:01.294, 3 MiB, 0 %, 7.80 W
2026/05/04 00:36:02.294, 3 MiB, 0 %, 8.33 W
2026/05/04 00:36:03.294, 3 MiB, 0 %, 8.58 W
2026/05/04 00:36:04.295, 3 MiB, 0 %, 8.75 W
2026/05/04 00:36:05.295, 3 MiB, 0 %, 8.78 W
2026/05/04 00:36:06.295, 3 MiB, 0 %, 8.71 W
2026/05/04 00:36:07.296, 3 MiB, 0 %, 8.81 W
2026/05/04 00:36:08.296, 3 MiB, 0 %, 9.00 W
2026/05/04 00:36:09.296, 3 MiB, 0 %, 8.87 W
2026/05/04 00:36:10.297, 3 MiB, 0 %, 8.75 W
2026/05/04 00:36:11.297, 3 MiB, 0 %, 8.30 W
2026/05/04 00:36:12.297, 3 MiB, 0 %, 7.88 W
2026/05/04 00:36:13.298, 3 MiB, 0 %, 7.83 W
2026/05/04 00:36:14.298, 3 MiB, 0 %, 7.42 W
2026/05/04 00:36:15.298, 3 MiB, 0 %, 7.22 W
2026/05/04 00:36:16.299, 3 MiB, 0 %, 7.20 W
2026/05/04 00:36:17.299, 3 MiB, 0 %, 7.10 W
2026/05/04 00:36:18.299, 3 MiB, 0 %, 7.13 W
2026/05/04 00:36:19.300, 3 MiB, 0 %, 6.85 W
2026/05/04 00:36:20.300, 3 MiB, 0 %, 6.56 W
2026/05/04 00:36:21.300, 3 MiB, 0 %, 6.54 W
2026/05/04 00:36:22.301, 3 MiB, 0 %, 6.70 W
2026/05/04 00:36:23.301, 3 MiB, 0 %, 6.68 W
2026/05/04 00:36:24.301, 3 MiB, 0 %, 6.67 W
2026/05/04 00:36:25.302, 3 MiB, 0 %, 6.67 W
2026/05/04 00:36:26.302, 3 MiB, 0 %, 6.29 W
2026/05/04 00:36:27.303, 3 MiB, 0 %, 6.14 W
2026/05/04 00:36:28.303, 3 MiB, 0 %, 6.29 W
2026/05/04 00:36:29.303, 3 MiB, 0 %, 6.54 W
2026/05/04 00:36:30.304, 3 MiB, 0 %, 6.50 W
2026/05/04 00:36:31.304, 3 MiB, 0 %, 6.46 W
2026/05/04 00:36:32.305, 3 MiB, 0 %, 6.51 W
2026/05/04 00:36:33.305, 3 MiB, 0 %, 6.60 W
2026/05/04 00:36:34.305, 3 MiB, 0 %, 6.90 W
2026/05/04 00:36:35.306, 3 MiB, 0 %, 6.86 W
2026/05/04 00:36:36.306, 3 MiB, 0 %, 6.64 W
2026/05/04 00:36:37.306, 3 MiB, 0 %, 6.52 W
2026/05/04 00:36:38.307, 3 MiB, 0 %, 6.61 W
2026/05/04 00:36:39.307, 3 MiB, 0 %, 6.72 W
2026/05/04 00:36:40.308, 3 MiB, 0 %, 6.52 W
2026/05/04 00:36:41.308, 3 MiB, 0 %, 6.25 W
2026/05/04 00:36:42.309, 3 MiB, 0 %, 6.12 W
2026/05/04 00:36:43.309, 3 MiB, 0 %, 6.08 W
2026/05/04 00:36:44.310, 3 MiB, 0 %, 6.13 W
2026/05/04 00:36:45.310, 3 MiB, 0 %, 6.16 W
2026/05/04 00:36:46.310, 3 MiB, 0 %, 6.10 W
2026/05/04 00:36:47.311, 3 MiB, 0 %, 6.04 W
2026/05/04 00:36:48.311, 3 MiB, 0 %, 6.14 W
2026/05/04 00:36:49.311, 3 MiB, 0 %, 6.19 W
2026/05/04 00:36:50.312, 3 MiB, 0 %, 5.99 W
2026/05/04 00:36:51.312, 3 MiB, 0 %, 5.70 W
2026/05/04 00:36:52.312, 3 MiB, 0 %, 5.82 W
2026/05/04 00:36:53.313, 3 MiB, 0 %, 6.40 W
2026/05/04 00:36:54.313, 3 MiB, 0 %, 6.40 W
2026/05/04 00:36:55.313, 3 MiB, 0 %, 6.14 W
2026/05/04 00:36:56.314, 3 MiB, 0 %, 6.33 W
2026/05/04 00:36:57.314, 3 MiB, 0 %, 6.46 W
2026/05/04 00:36:58.315, 3 MiB, 0 %, 6.32 W
2026/05/04 00:36:59.315, 3 MiB, 0 %, 6.19 W
2026/05/04 00:37:00.315, 3 MiB, 0 %, 6.16 W
2026/05/04 00:37:01.316, 3 MiB, 0 %, 6.05 W
2026/05/04 00:37:02.316, 3 MiB, 0 %, 5.86 W
2026/05/04 00:37:03.316, 3 MiB, 0 %, 5.76 W
2026/05/04 00:37:04.317, 3 MiB, 0 %, 6.04 W
2026/05/04 00:37:05.317, 3 MiB, 0 %, 6.19 W
2026/05/04 00:37:06.317, 3 MiB, 0 %, 6.14 W
2026/05/04 00:37:07.318, 3 MiB, 0 %, 6.11 W
2026/05/04 00:37:08.318, 3 MiB, 0 %, 5.87 W
2026/05/04 00:37:09.318, 3 MiB, 0 %, 5.63 W
